name,location,startDate,endDate,cfpDeadline,cfpUrl,conferenceWebsite,description,notes
MDS Fest 2026,,,,,,https://www.mdsfest.com/speakers,,
CERN PGDay 2026 ,Europe/Zurich,2026-02-06,,,,https://home.cern/events/cern-pgday-2026,,
Open Data Week NYC ,"NYC, NY ",2029-03-22,2026-03-29,,https://opendataweek.nyc/,,,
NYC School of Data Day,"NYC, NY ",,,2026-01-31,https://schoolofdata.nyc/2026-cfp/,https://schoolofdata.nyc/,,
Current,"New Orleans, LA",2026-10-29,2026-10-30,,,,,
Snowflake Summit ,"SF, CA, ",2026-06-01,2026-06-04,,,https://www.snowflake.com/en/summit/,,
NeurIPS ,"Sidney, Australia",2026-12-06,2026-12-12,,https://docs.google.com/document/u/1/d/e/2PACX-1vTIIpfIUs1oPgm47hg5NQ9dWCtK2twhNTAkfkggItdzukS85kf-ThFxxVXHhFuGtnZ5pfyC-Rw38xIm/pub,https://neurips.cc/,,
PGConf.dev 2026,"Vancouver, BC, Canada",2026-05-19,2026-05-22,,https://2026.pgconf.dev/cfp,https://2026.pgconf.dev/,,
Collide 26: Data Science Connect ,"Atlanta, GA",2026-10-01,2026-10-01,,,,,
Smart Production Solutions,"Nuremberg, Germany",2026-11-24,,,,,,
PGConf NYC,"New York, NY",,,,,,,
Data Driven Oil & Gas USA 2026,Houston ,2026-09-01,,,,https://datadriven-og.com/,"Yes, for time series in O&G. Other companies attending are in our target list",
AI in Oil and Gas Conference,Houston ,2026-04-08,,,,https://aioilandgas.energyconferencenetwork.com/,"Yes, for AI and specific industry focus on O&G",
IOT Tech Expo North America,San Jose,2026-05-18,,,,https://www.iottechexpo.com/northamerica/,"Yes, good fit for IoT use case; tech vendors include IBM, AWS, Cribl, Couchbase besides several security software vendors (Fortinet, Druva, etc.)",
